"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Corey Kluber","Indians","TEX @ CLE",".54","7.05","28.08","5.42","3.35","1.28",".09",".70","2.00","9.26","30.02","48.43","28.12","2429"
"Jacob deGrom","Mets","ATL @ NYM",".45","6.78","27.39","5.57","3.66","1.12",".11",".68","2.06","8.34","26.71","44.02","24.94","10954"
"Stephen Strasburg","Nationals","PIT @ WSH",".46","6.59","26.72","5.53","3.54","1.07",".11",".80","1.92","8.57","26.62","43.69","24.88","10131"
"Aaron Nola","Phillies","PHI @ MIA",".52","6.99","28.43","5.91","4.19","1.09",".13",".49","2.14","7.48","25.46","42.54","23.92","16149"
"Yu Darvish","Cubs","COL @ CHC",".48","6.40","26.14","5.40","3.02","1.10",".11","1.17","1.99","8.55","25.54","42.06","23.86","13074"
"Zack Godley","Diamondbacks","LAD @ ARI",".38","6.45","26.81","5.22","3.11","1.28",".15",".68","2.74","7.94","23.91","40.46","22.43","14862"
"Carlos Martinez","Cardinals","CWS @ STL",".52","6.83","28.16","5.85","4.00","1.13",".14",".58","2.47","7.21","23.78","40.52","22.38","11682"
"James Paxton","Mariners","OAK @ SEA",".44","5.90","24.42","4.99","2.86","1.10",".07",".95","2.12","7.60","22.65","37.60","21.11","11828"
"Andrew Heaney","Angels","BAL @ LAA",".40","6.36","26.08","5.64","3.81","1.02",".06",".76","1.89","6.64","21.62","36.49","20.01","15423"
"Luis Severino","Yankees","NYY @ HOU",".43","5.93","25.14","5.53","3.47","1.21",".10",".76","2.37","6.51","19.38","33.87","18.16","15890"
"Drew Pomeranz","Red Sox","KC @ BOS",".44","6.42","27.30","6.20","3.91","1.40",".08",".81","2.40","6.19","18.98","33.89","17.85","11426"
"Hyun-Jin Ryu","Dodgers","LAD @ ARI",".35","5.86","24.57","5.40","3.33","1.30",".17",".60","2.12","6.30","19.19","33.04","17.84","14444"
"Sean Newcomb","Braves","ATL @ NYM",".29","5.90","25.45","5.11","3.26",".99",".11",".76","3.19","6.42","18.13","32.60","17.11","16943"
"Luis Castillo","Reds","MIL @ CIN",".37","6.23","26.42","6.04","3.56","1.22",".06","1.20","2.25","6.19","18.01","32.07","16.82","15689"
"Blake Snell","Rays","TB @ DET",".38","5.97","25.50","5.95","3.94","1.25",".15",".61","2.25","5.87","17.54","31.54","16.43","13543"
"Derek Holland","Giants","SD @ SF",".38","5.93","25.02","5.42","3.63","1.07",".15",".58","2.40","5.54","17.68","31.21","16.41","4141"
"Dylan Bundy","Orioles","BAL @ LAA",".33","6.12","25.85","5.66","3.79","1.03",".08",".77","2.42","5.17","16.69","29.99","15.46","12917"
"Jose Urena","Marlins","PHI @ MIA",".26","6.39","27.54","5.93","3.91","1.15",".16",".72","3.10","5.31","15.93","29.99","14.96","11589"
"Dallas Keuchel","Astros","NYY @ HOU",".29","6.14","26.41","6.15","3.55","1.32",".11","1.17","2.42","5.71","15.93","29.38","14.91","9434"
"Wade Miley","Brewers","MIL @ CIN",".36","5.87","26.02","5.83","3.77","1.10",".07",".89","3.26","5.41","14.48","28.29","13.84","8779"
"Clayton Richard","Padres","SD @ SF",".34","6.05","26.32","6.47","4.44","1.39",".14",".50","2.38","4.70","14.33","27.64","13.47","3551"
"Marcus Stroman","Blue Jays","TOR @ MIN",".40","5.91","25.43","6.03","3.87","1.36",".09",".71","2.28","4.60","14.54","27.22","13.52","13431"
"Michael Fulmer","Tigers","TB @ DET",".33","6.00","25.17","6.18","4.19","1.14",".22",".64","1.61","4.33","14.85","26.87","13.55","13218"
"Ivan Nova","Pirates","PIT @ WSH",".27","5.87","24.90","6.50","4.20","1.21",".13",".96","1.39","4.70","14.24","26.15","13.08","1994"
"Fernando Romero","Twins","TOR @ MIN",".31","5.88","25.59","5.80","3.52","1.27",".07",".94","2.75","4.48","13.20","25.55","12.29","sa657418"
"Danny Duffy","Royals","KC @ BOS",".26","5.44","23.87","6.05","3.65","1.41",".11",".87","2.07","4.71","12.51","24.12","11.70","3542"
"Matt Moore","Rangers","TEX @ CLE",".21","5.63","24.71","5.84","3.54","1.38",".09",".82","2.58","4.57","12.32","24.19","11.54","1890"
"Lucas Giolito","White Sox","CWS @ STL",".22","5.71","25.75","6.05","3.79","1.25",".13",".89","3.25","4.46","10.89","23.30","10.44","15474"
"Tyler Anderson","Rockies","COL @ CHC",".22","5.18","23.15","5.88","3.44","1.22",".13","1.10","2.21","4.80","11.49","22.63","10.85","12880"
"Brett Anderson","Athletics","OAK @ SEA",".23","4.94","21.96","5.97","3.88","1.14",".09",".86","1.72","3.32","8.66","17.89","8.04","8223"
